year,,year,donor,recipient,amount
1984,624,1984,Germany,Brazil,52285808.0
1984,635,1984,Japan,Brazil,51298740.0
1984,662,1984,Switzerland,Thailand,36341045.0
1984,632,1984,Italy,Colombia,30399251.0
1984,611,1984,Canada,Brazil,22446233.0
1984,623,1984,France,Thailand,16708469.0
1984,622,1984,France,Korea,14930184.0
1984,636,1984,Japan,Chile,14060090.0
1984,613,1984,Canada,Colombia,11005022.0
1984,628,1984,Germany,Korea,10765928.0
1984,670,1984,United States,Colombia,8629892.0
1984,612,1984,Canada,Chile,8564538.0
1984,657,1984,Sweden,Chile,7213287.0
1984,679,1984,United States,Saudi Arabia,6771657.0
1984,644,1984,Netherlands,Brazil,6319604.0
1984,645,1984,Netherlands,Chile,5967125.0
1984,649,1984,Netherlands,Thailand,5638631.0
1984,666,1984,United Kingdom,Thailand,5637698.0
1984,663,1984,United Kingdom,Brazil,4513880.0
1984,625,1984,Germany,Chile,3916644.0
1984,610,1984,Australia,Thailand,2824245.0
1984,653,1984,Norway,Thailand,1831968.0
1984,615,1984,Canada,Korea,1476849.0
1984,659,1984,Sweden,Thailand,908633.0
1984,609,1984,Australia,India,874041.0
1984,650,1984,Norway,Brazil,836082.0
1984,660,1984,Switzerland,Colombia,780074.0
1984,637,1984,Japan,Colombia,588288.0
1984,664,1984,United Kingdom,Colombia,565630.0
1984,656,1984,Sweden,Brazil,350824.0
1984,618,1984,Denmark,Thailand,202561.0
1984,646,1984,Netherlands,Colombia,178325.0
1984,648,1984,Netherlands,Korea,52142.0
1984,651,1984,Norway,Chile,40076.0
1984,629,1984,Germany,Saudi Arabia,12919.0
1985,704,1985,Germany,Poland,1014259163.0
1985,717,1985,Japan,Thailand,842757861.0
1985,743,1985,United States,Colombia,799140058.0
1985,714,1985,Japan,Korea,635015511.0
1985,742,1985,United States,Chile,607271966.0
1985,710,1985,Japan,Brazil,525285054.0
1985,713,1985,Japan,India,497456385.0
1985,741,1985,United States,Brazil,350246529.0
1985,747,1985,United States,India,291952027.0
1985,699,1985,Germany,Brazil,189480516.0
1985,702,1985,Germany,India,182979772.0
1985,749,1985,United States,Korea,173334566.0
1985,709,1985,Italy,India,164182162.0
1985,729,1985,Saudi Arabia,India,128074768.0
1985,697,1985,France,India,119512392.0
1985,732,1985,Sweden,India,117678026.0
1985,752,1985,United States,Thailand,103681719.0
1985,693,1985,Denmark,India,98069357.0
1985,685,1985,Austria,Korea,87348212.0
1985,728,1985,Norway,India,85369911.0
1985,695,1985,France,Brazil,66962090.0
1985,722,1985,Netherlands,India,66957689.0
