,year,Country,received,donated,total
97,1981,Ireland,58605044.0,0.0,58605044.0
115,1982,Austria,58590672.0,272169.0,58862841.0
179,1986,Cyprus,56716357.0,0.0,56716357.0
57,1980,Australia,54502260.0,23283790.0,77786050.0
43,1978,Colombia,54438681.0,0.0,54438681.0
142,1983,Taiwan,54105626.0,0.0,54105626.0
587,2006,Chile,53907751.0,129055.0,54036806.0
558,2004,Hungary,53861240.0,0.0,53861240.0
384,1997,Hungary,53047029.0,0.0,53047029.0
490,2001,Slovak Republic,52945385.0,0.0,52945385.0
297,1993,Latvia,52648796.0,0.0,52648796.0
326,1994,Slovak Republic,52553361.0,0.0,52553361.0
135,1983,Cyprus,51405078.0,0.0,51405078.0
50,1979,Chile,49451759.0,0.0,49451759.0
324,1994,Romania,47195859.0,0.0,47195859.0
236,1990,Ireland,46238132.0,0.0,46238132.0
505,2002,Hungary,46184177.0,0.0,46184177.0
312,1994,Cyprus,46104382.0,0.0,46104382.0
411,1998,Latvia,46078691.0,0.0,46078691.0
530,2003,Czech Republic,45608312.0,247942.0,45856254.0
78,1980,Romania,44381441.0,0.0,44381441.0
75,1980,Norway,43725131.0,41738095.0,85463226.0
211,1988,Saudi Arabia,42431775.0,0.0,42431775.0
290,1993,Cyprus,42046495.0,0.0,42046495.0
543,2003,Slovak Republic,41479968.0,0.0,41479968.0
555,2004,Czech Republic,41237106.0,0.0,41237106.0
254,1991,Korea,39850875.0,0.0,39850875.0
164,1985,Cyprus,39214175.0,0.0,39214175.0
343,1995,Latvia,39008900.0,0.0,39008900.0
292,1993,Estonia,38337840.0,0.0,38337840.0
204,1988,Greece,37727914.0,0.0,37727914.0
165,1985,Greece,36819257.0,0.0,36819257.0
186,1986,Saudi Arabia,36516861.0,35996220.0,72513081.0
88,1981,Belgium,36477733.0,61917902.0,98395635.0
518,2002,Slovak Republic,35860783.0,0.0,35860783.0
172,1985,Saudi Arabia,35529584.0,128074768.0,163604352.0
81,1980,Sweden,35282669.0,10679246.0,45961915.0
360,1996,Czech Republic,35124917.0,4724939.0,39849856.0
133,1983,Chile,33869655.0,0.0,33869655.0
568,2004,Slovak Republic,33775543.0,0.0,33775543.0
538,2003,Lithuania,33181470.0,0.0,33181470.0
219,1989,Cyprus,32612810.0,0.0,32612810.0
466,2000,Slovenia,32556545.0,0.0,32556545.0
120,1982,Cyprus,31348629.0,0.0,31348629.0
166,1985,Hungary,31296368.0,0.0,31296368.0
28,1976,Cyprus,31022257.0,0.0,31022257.0
361,1996,Estonia,30942970.0,0.0,30942970.0
485,2001,Lithuania,30635613.0,0.0,30635613.0
207,1988,Kuwait,30421288.0,43914563.0,74335851.0
563,2004,Lithuania,30341902.0,0.0,30341902.0
70,1980,Ireland,30268231.0,0.0,30268231.0
453,2000,Hungary,29607289.0,0.0,29607289.0
213,1988,Taiwan,29459009.0,0.0,29459009.0
268,1992,Cyprus,29261936.0,0.0,29261936.0
192,1987,Cyprus,29088415.0,0.0,29088415.0
173,1985,Taiwan,28782961.0,0.0,28782961.0
321,1994,Lithuania,28739967.0,0.0,28739967.0
320,1994,Latvia,28380386.0,0.0,28380386.0
407,1998,Hungary,27853171.0,0.0,27853171.0
151,1984,Finland,26553629.0,0.0,26553629.0
429,1999,Hungary,26274654.0,0.0,26274654.0
476,2001,Cyprus,26263860.0,0.0,26263860.0
95,1981,Greece,26046686.0,0.0,26046686.0
118,1982,Chile,25718071.0,0.0,25718071.0
314,1994,Estonia,25652518.0,0.0,25652518.0
512,2002,Lithuania,25362242.0,0.0,25362242.0
366,1996,Latvia,25044880.0,0.0,25044880.0
91,1981,Chile,24802202.0,0.0,24802202.0
465,2000,Slovak Republic,24767414.0,0.0,24767414.0
